"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.335279069E2,2.998724945E1,3.144167281E1,3.075861870E2,3.246109120E2,8.162313975E-2,1.318683078E2,1.426682646E-1,1.174024038E1,7.922910250E0,-1.000000000E0
1.345279039E2,2.998723529E1,3.144165326E1,3.077565392E2,3.247812807E2,1.208635706E-1,1.318683031E2,1.428878795E-1,5.645128240E0,7.763186278E0,-1.000000000E0
1.355279012E2,2.998723569E1,3.144165103E1,3.079350295E2,3.249597690E2,8.711299635E-2,1.318682979E2,1.430076926E-1,5.925865922E0,7.955243161E0,-1.000000000E0
1.365278976E2,2.998723589E1,3.144164981E1,3.076896204E2,3.247143590E2,1.012124641E-1,1.318682952E2,1.433567981E-1,6.155733346E0,7.783901626E0,-1.000000000E0
1.375278912E2,2.998723665E1,3.144164629E1,3.076917151E2,3.247164504E2,1.111304915E-1,1.318682894E2,1.436697146E-1,6.384466270E0,7.861014700E0,-1.000000000E0
1.385278823E2,2.998723569E1,3.144164324E1,3.073012217E2,3.243259573E2,1.482637531E-1,1.318682857E2,1.439440768E-1,6.453381341E0,7.679042064E0,-1.000000000E0
1.395278757E2,2.998723656E1,3.144164057E1,3.073552750E2,3.243800076E2,1.141523981E-1,1.318682816E2,1.443334974E-1,6.661329954E0,7.591132603E0,-1.000000000E0
1.405278683E2,2.998723734E1,3.144163663E1,3.076239079E2,3.246486370E2,8.656974291E-2,1.318682770E2,1.448115125E-1,6.777144905E0,7.728062251E0,-1.000000000E0
1.415278586E2,2.998723772E1,3.144163169E1,3.077255010E2,3.247502269E2,8.815667290E-2,1.318682717E2,1.453722158E-1,6.958459314E0,7.682960405E0,-1.000000000E0
1.425278499E2,2.998724036E1,3.144162673E1,3.078155283E2,3.248402468E2,8.531834985E-2,1.318682675E2,1.458836634E-1,7.054782543E0,7.366879553E0,-1.000000000E0
