"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.287327883E1,2.998734952E1,3.144083426E1,3.153126219E2,3.323367310E2,1.299999952E0,2.776000061E2,5.019795075E-1,3.790092468E0,2.500000000E0,1.500000000E1
7.387346325E1,2.998735311E1,3.144081372E1,3.152882861E2,3.323123779E2,2.299999952E0,2.775000000E2,5.038768697E-1,3.790092468E0,2.500000000E0,1.900000000E1
7.487300549E1,2.998735389E1,3.144079404E1,3.150041179E2,3.320281982E2,1.669999957E0,2.728999939E2,5.059899232E-1,3.790092468E0,2.500000000E0,1.800000000E1
7.587372070E1,2.998735396E1,3.144077210E1,3.149725741E2,3.319966431E2,2.259999990E0,2.705000000E2,5.081746456E-1,3.790092468E0,2.500000000E0,1.600000000E1
7.687386586E1,2.998735504E1,3.144074945E1,3.156893846E2,3.327134399E2,2.190000057E0,2.747000122E2,5.107075969E-1,3.790092468E0,2.669760942E0,1.700000000E1
7.787280992E1,2.998735502E1,3.144072315E1,3.151118223E2,3.321358643E2,2.799999952E0,2.686000061E2,5.136841263E-1,3.790092468E0,2.514769077E0,1.800000000E1
7.887340565E1,2.998735172E1,3.144069248E1,3.156629793E2,3.326870117E2,3.130000114E0,2.632999878E2,5.168575478E-1,3.790092468E0,2.579493999E0,1.500000000E1
7.987365825E1,2.998734891E1,3.144065969E1,3.152191432E2,3.322431641E2,3.279999971E0,2.640000000E2,5.203421505E-1,3.790092468E0,2.607400894E0,2.100000000E1
8.087373632E1,2.998734761E1,3.144062354E1,3.148113223E2,3.318353271E2,3.359999895E0,2.652000122E2,5.238768805E-1,3.790092468E0,2.758088112E0,1.900000000E1
8.187288768E1,2.998734681E1,3.144058685E1,3.144539177E2,3.314779053E2,3.339999914E0,2.667000122E2,5.275348932E-1,3.790092468E0,3.044348001E0,1.800000000E1
8.287298096E1,2.998734712E1,3.144054887E1,3.140951731E2,3.311191406E2,3.390000105E0,2.682999878E2,5.311064469E-1,3.790092468E0,3.052449703E0,1.800000000E1
8.387330955E1,2.998734759E1,3.144051179E1,3.141705103E2,3.311944580E2,3.420000076E0,2.700000000E2,5.345966731E-1,3.790092468E0,3.005607128E0,1.700000000E1
8.487368163E1,2.998734687E1,3.144047556E1,3.141500197E2,3.311739502E2,3.440000057E0,2.690000000E2,5.381709339E-1,3.790092468E0,2.598905087E0,1.600000000E1
8.587305419E1,2.998734605E1,3.144043846E1,3.138686651E2,3.308925781E2,3.460000038E0,2.702999878E2,5.417096536E-1,3.790092468E0,2.583415270E0,1.900000000E1
8.687335945E1,2.998734564E1,3.144040172E1,3.134748843E2,3.304987793E2,3.450000048E0,2.708999939E2,5.452381040E-1,3.790092468E0,2.697832346E0,1.900000000E1
8.787355518E1,2.998734469E1,3.144036510E1,3.133386708E2,3.303625488E2,3.460000038E0,2.710000000E2,5.486831886E-1,3.790092468E0,2.521085978E0,1.800000000E1
8.887368179E1,2.998734490E1,3.144032933E1,3.138739678E2,3.308978271E2,3.410000086E0,2.715000000E2,5.519606759E-1,3.790092468E0,2.743157148E0,1.700000000E1
8.987289247E1,2.998734472E1,3.144029530E1,3.139412456E2,3.309650879E2,3.349999905E0,2.711000061E2,5.552047437E-1,3.790092468E0,2.869458199E0,2.100000000E1
9.087305866E1,2.998734389E1,3.144026163E1,3.130403213E2,3.300641479E2,3.380000114E0,2.691000061E2,5.584605667E-1,3.790092468E0,2.926814795E0,2.000000000E1
9.187366809E1,2.998734221E1,3.144022788E1,3.131306675E2,3.301544800E2,3.450000048E0,2.685000000E2,5.618152566E-1,3.790092468E0,2.902635336E0,1.900000000E1
9.287317319E1,2.998733979E1,3.144019316E1,3.128615157E2,3.298853149E2,3.500000000E0,2.680000000E2,5.653943357E-1,3.790092468E0,2.951522827E0,1.500000000E1
9.387345455E1,2.998733868E1,3.144015602E1,3.122591767E2,3.292829590E2,3.769999981E0,2.690000000E2,5.689413704E-1,3.790092468E0,3.105904102E0,1.800000000E1
9.487363533E1,2.998733796E1,3.144011920E1,3.120465477E2,3.290703125E2,3.359999895E0,2.691000061E2,5.724519119E-1,3.790092468E0,2.984871149E0,1.900000000E1
9.587290960E1,2.998733780E1,3.144008275E1,3.118441735E2,3.288679199E2,3.470000029E0,2.707000122E2,5.759325666E-1,3.790092468E0,3.160663605E0,2.000000000E1
9.687348996E1,2.998733771E1,3.144004661E1,3.119891503E2,3.290128784E2,3.359999895E0,2.712999878E2,5.792985352E-1,3.790092468E0,3.048466682E0,2.000000000E1
9.787358194E1,2.998733841E1,3.144001167E1,3.122270845E2,3.292507935E2,3.460000038E0,2.712999878E2,5.828409606E-1,3.790092468E0,3.099521875E0,2.100000000E1
9.887309715E1,2.998733870E1,3.143997489E1,3.119130169E2,3.289367065E2,3.519999981E0,2.702999878E2,5.863489407E-1,3.790092468E0,2.845363855E0,2.000000000E1
9.987340402E1,2.998733824E1,3.143993847E1,3.117934668E2,3.288171387E2,3.460000038E0,2.711000061E2,5.898844994E-1,3.790092468E0,2.748057127E0,2.000000000E1
1.008730808E2,2.998733953E1,3.143990179E1,3.121738591E2,3.291975098E2,3.549999952E0,2.717999878E2,5.934658211E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.018735063E2,2.998734072E1,3.143986463E1,3.114144199E2,3.284380493E2,3.579999924E0,2.717999878E2,5.969296018E-1,3.790092468E0,2.508892298E0,2.000000000E1
1.028736804E2,2.998734188E1,3.143982869E1,3.114148677E2,3.284384766E2,3.400000095E0,2.718999939E2,6.003255550E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.038736745E2,2.998734207E1,3.143979343E1,3.113960873E2,3.284196777E2,3.480000019E0,2.715000000E2,6.038198954E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.048728966E2,2.998734172E1,3.143975715E1,3.106765007E2,3.277000732E2,3.450000048E0,2.701000061E2,6.072546969E-1,3.790092468E0,2.500000000E0,1.700000000E1
1.058730838E2,2.998734002E1,3.143972154E1,3.103602315E2,3.273837891E2,3.390000105E0,2.691000061E2,6.107081030E-1,3.790092468E0,2.500000000E0,1.800000000E1
1.068726645E2,2.998733881E1,3.143968571E1,3.102254820E2,3.272490234E2,3.420000076E0,2.688999939E2,6.139249097E-1,3.790092468E0,2.500000000E0,1.800000000E1
1.078730851E2,2.998733864E1,3.143965231E1,3.106334577E2,3.276569824E2,3.190000057E0,2.703999939E2,6.170025713E-1,3.790092468E0,2.500000000E0,1.800000000E1
1.088735015E2,2.998733995E1,3.143962039E1,3.101608813E2,3.271843872E2,2.980000019E0,2.712000122E2,6.195298061E-1,3.790092468E0,2.500000000E0,1.800000000E1
1.098731969E2,2.998734011E1,3.143959415E1,3.103596865E2,3.273831787E2,2.319999933E0,2.705000000E2,6.215993418E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.108734693E2,2.998734148E1,3.143957272E1,3.105221756E2,3.275456543E2,1.870000005E0,2.722999878E2,6.229850540E-1,3.790092468E0,2.500000000E0,1.700000000E1
1.118728358E2,2.998734369E1,3.143955856E1,3.105555122E2,3.275789795E2,9.399999976E-1,2.730000000E2,6.239241105E-1,3.790092468E0,2.500000000E0,1.700000000E1
1.128730731E2,2.998734577E1,3.143954911E1,3.104825229E2,3.275059814E2,9.300000072E-1,2.717999878E2,6.248220572E-1,3.790092468E0,2.500000000E0,1.600000000E1
1.138733126E2,2.998734697E1,3.143953989E1,3.102762310E2,3.272996826E2,9.100000262E-1,2.725000000E2,6.258379834E-1,3.790092468E0,2.500000000E0,1.800000000E1
1.148733736E2,2.998734619E1,3.143952938E1,3.099592183E2,3.269826660E2,1.179999948E0,2.687000122E2,6.263483328E-1,3.790092468E0,2.500000000E0,1.600000000E1
1.158738383E2,2.998734467E1,3.143952438E1,3.101879778E2,3.272114258E2,3.700000048E-1,2.722999878E2,6.274616924E-1,3.790092468E0,2.500000000E0,1.600000000E1
